ID,A1,A2,A3,A4,A5,A6,A7,A8,G1,G2,G3,G4,G5,G6,G7,G8,G9,C1,C2,RV,Anneal_Temp,Anneal_Time,Tg,Tm,Jg
S55,96,4,0,0,0,0,0,0,0,0,0,0,0,64,0,36,0,0,0,0.51,50,7,43,175.2,
S56,83,9.5,0,0,0,7.5,0,0,10,0,0,0,0,60,0,30,0,0,0,0.66,50,7,30.9,150.8,
S57,85,10,0,0,0,5,0,0,10,0,0,0,0,60,0,30,0,0,0,0.52,50,7,36.9,154,
S58,80,20,0,0,0,0,0,0,10,0,0,0,60,0,0,30,0,0,0,0.68,50,7,19.5,108.8,
S59,80,20,0,0,0,0,0,0,0,0,0,10,0,60,0,30,0,0,0,0.51,50,7,36.9,145.2,
S60,80,20,0,0,0,0,0,0,0,0,10,0,0,60,0,30,0,0,0,0.59,50,7,45.2,116.4,
S61,75,0,25,0,0,0,0,0,10,0,0,0,0,60,0,30,0,0,0,0.55,50,7,54.6,166.9,
S62,80,20,0,0,0,0,0,0,0,0,0,0,0,50,20,30,0,0,0,0.59,50,7,40.8,125,
S63,80,20,0,0,0,0,0,0,0,10,0,0,0,60,0,30,0,0,0,0.52,50,7,44.9,129.3,
S64,0,20,80,0,0,0,0,0,10,0,0,0,0,60,0,30,0,0,0,0.47,50,7,68.2,129.3,
S65,80,20,0,0,0,0,0,0,0,0,0,20,0,50,0,30,0,0,0,0.53,50,7,34.9,127.2,
S66,75,0,25,0,0,0,0,0,10,0,0,0,60,0,0,30,0,0,0,0.39,50,7,21.9,121.1,
S67,65,0,35,0,0,0,0,0,10,0,0,0,50,0,0,40,0,0,0,0.57,50,7,39.3,134.8,
S68,81,14,5,0,0,0,0,0,12,0,0,0,59,0,0,29,0,0,0,0.6,80,7,48.8,143.3,19.1
S69,80,19,0,0,0,0,0,1,7,0,0,0,62,0,0,31,0,0,0,0.51,80,7,42.2,125.4,15.1
S70,79,20,0,0,0,0,0,1,0,0,0,0,0,67,5,28,0,0,0,0.51,80,7,38.1,139.2,17.3
S71,80,15,5,0,0,0,0,0,0,0,0,0,0,67,7,26,0,0,0,0.66,80,7,46,143,17.3
S72,89,10,0,0,0,0,0,1,0,0,35,0,0,60,0,5,0,0,0,0.68,80,7,33.5,118.7,10.2
S73,80,15,5,0,0,0,0,0,0,0,39,0,0,56,0,5,0,0,0,0.56,80,7,35.3,104.4,12.6
S74,90,10,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,1,1,0.63,50,7,50.9,162.7,5.8
S75,90,10,0,0,0,0,0,0,0,5,0,0,0,65,0,30,0,1,2,0.63,50,7,48.9,148,4.8
S76,89,11,0,0,0,0,0,1,0,0,27,0,0,70,0,3,0,2,1,0.61,50,7,31.4,147.9,21.2
S77,79,20,0,0,0,0,0,1,0,0,27,0,0,70,0,3,0,2,1,0.57,50,7,27.2,136.8,14.1
S78,77,22,0,0,0,0,0,1,0,0,23,0,0,73,0,24,0,2,1,0.65,50,7,36.2,95.9,4.35
S79,89,10,0,0,0,0,0,1,0,0,20,0,0,72,0,8,0,2,1,0.6,50,7,46.8,108,11.2
S80,89,10,0,0,0,0,0,1,0,0,20,0,0,70,0,10,0,2,1,0.53,50,7,42.5,105.5,17
S81,87,12,0,0,0,0,0,1,0,0,26,0,0,60,0,14,0,2,1,0.58,50,7,40.4,125.4,5.7
S82,87,12,0,0,0,0,0,1,0,0,29,0,0,57,0,14,0,2,1,0.61,50,7,47.1,108.8,20.6
S83,87,0,0,12,0,0,0,1,0,0,28,0,0,63,0,9,0,2,1,0.63,80,7,27.5,108.3,13.9
S84,89,0,0,10,0,0,0,1,0,0,10,0,0,80,0,10,0,2,1,0.74,80,7,9.9,170.1,31.9
S85,88,0,0,11,0,0,0,1,0,0,18,0,0,75,0,7,0,2,1,0.6,80,7,17.2,147.7,22.4
S86,88,0,0,11,0,0,0,1,0,0,18,0,0,69,0,13,0,2,1,0.57,80,7,22,135.6,5.5
S87,94,0,0,5,0,0,0,1,0,0,25,0,0,65,0,10,0,2,1,0.58,80,7,29.4,159.1,21.7
S88,94,0,0,5,0,0,0,1,0,0,35,0,0,57,0,8,0,2,1,0.49,80,7,28.4,150.6,18.3
S89,94,0,0,5,0,0,0,1,0,0,35,0,0,55,0,10,0,2,1,0.56,80,7,29.6,132.6,8.31
